point_time  ,PGEPWR ,SPNETPWR ,COGENKW ,F75406DUP ,FS74409DUP ,F7427DUP ,F7428DUP ,F7431DUP ,F7432DUP ,F7425 ,F7424 ,F7422 ,F7421 ,F1325 ,F71201DUP ,F71101DUP ,F71324_PVEUDUP ,F71202DUP ,F71102DUP ,F71325_PVEUDUP
12/03/2017 14:00:00,    13.31,     0.00,  2731.19,   954.87, 10813.71,   165.53,     0.00,     2.68,     0.00,  4633.08,     0.00,  1778.15, 11374.04,    46.12,     0.00,   347.82,     0.00,     0.00,     0.00,     0.00
12/03/2017 15:00:00,    14.48,     0.00,  2758.94,   962.34, 11496.86,   121.28,     0.00,     2.69,     0.00,  3059.53,     0.00,  1805.22, 13682.46,    46.29,     0.00,   351.06,     0.00,     0.00,     0.00,     0.00
12/03/2017 16:00:00,    13.79,     0.00,  2693.28,   945.95, 11562.47,   225.14,     0.00,     4.45,     0.00,  6640.63,     0.00,  1842.89, 11323.60,    45.81,     0.00,   354.06,     0.00,     0.00,     0.00,     0.00
12/03/2017 17:00:00,    12.70,     0.00,  2705.39,   948.60, 11535.50,   269.51,     0.00,     4.50,     0.00,  7839.75,     0.00,  1845.88, 10691.17,    45.11,     0.00,   379.13,     0.00,     0.00,     0.00,     0.00
12/03/2017 18:00:00,     9.50,     0.00,  2713.11,   950.70, 11455.20,   196.76,     0.00,     3.56,     0.00,  5689.52,     0.00,  1823.36, 13569.01,    43.90,     0.00,   403.56,     0.00,     0.00,     0.00,     0.00
12/03/2017 19:00:00,     6.32,     0.00,  2704.41,   948.09, 11403.25,   254.56,     0.00,     4.48,     0.00,  7459.63,     0.00,  1838.60, 12553.90,    42.92,     0.00,   360.02,     0.00,     0.00,     0.00,     0.00
12/03/2017 20:00:00,     3.14,     0.00,  2719.33,   952.31, 11375.47,   333.69,     0.00,     4.39,     0.00,  9766.56,     0.00,  1839.73, 10530.98,    42.59,     0.00,   420.63,     0.00,     0.00,     0.00,     0.00
12/03/2017 21:00:00,     5.00,     0.00,  2709.59,   949.84, 11207.30,   290.58,     0.00,     4.47,     0.00,  8421.87,     0.00,  1820.31, 12094.45,    42.81,     0.00,   442.24,     0.00,     0.00,     0.00,     0.00
12/03/2017 22:00:00,     1.52,     0.00,  2729.96,   955.09, 11196.52,   247.02,     0.00,     4.49,     0.00,  7208.37,     0.00,  1823.92, 13928.75,    43.08,     0.00,   402.51,     0.00,     0.00,     0.00,     0.00
12/03/2017 23:00:00,     1.64,     0.00,  2695.41,   946.60, 11079.28,   327.00,     0.00,     2.69,     0.00,  9586.39,     0.00,  1805.22, 12017.11,    42.69,     0.00,   400.38,     0.00,     0.00,     0.00,     0.00
